,number_of_rooms,floor,area,latitude,longitude,price
0,1,1,58,38.5858337,68.793715,330000
1,1,14,68,38.52225355,68.74991794,340000
2,3,8,50,,,700000
3,3,14,84,38.5208346,68.74790775,700000
4,3,3,83,38.5643744,68.73941921,415000
5,3,4,53,38.53068645,68.74526128,513000
6,2,12,67,38.5871679,68.7869964,360000
7,2,4,52,,,397000
8,2,7,95,,,499000
9,2,15,73,38.53839425,68.75472502,450000
10,1,16,47,,,395000
11,2,15,52,38.5853222,68.71890382,370000
12,1,4,50,38.5615057,68.739065,490000
13,2,11,51,38.5853222,68.71890382,430000
14,2,9,48,38.58527165,68.72827396,391000
15,3,12,98,,,1026000
16,2,3,55,,,375000
17,1,7,65,38.5408908,68.72091576,229000
18,3,15,50,,,575000
19,4,17,122,,,1290000
20,3,6,78,38.5871679,68.7869964,710000
21,1,7,67,38.5540499,68.78854785,275000
22,3,11,106,38.5615057,68.739065,1112300
23,4,3,67,38.5635832,68.7537962,900000
24,2,17,70,38.52398815,68.75070675,300000
25,3,10,68,38.5644634,68.7598051,473100
26,3,3,90,38.5615057,68.739065,433200
27,2,10,50,,,330000
28,3,11,50,,,910000
29,3,9,50,,,1020000
30,2,11,73,38.5871679,68.7869964,855000
31,2,7,79,38.5635832,68.7537962,490000
32,1,12,64,38.5635832,68.7537962,355000
33,2,14,56,38.5615057,68.739065,421000
34,2,3,53,38.5305762,68.7763022,300000
35,3,2,60,,,550000
36,1,3,45,38.5305762,68.7763022,180000
37,3,3,80,38.5887216,68.73026538,680000
38,3,2,80,38.5234594,68.74951586,780000
39,2,4,52,38.5885533,68.7787884,193000
40,1,13,42,38.54557415,68.82363702,262000
41,1,9,41,38.5853222,68.71890382,117000
42,2,4,36,38.5305762,68.7763022,325000
43,2,4,52,38.5507163,68.8305472,547000
44,6,4,95,38.5425835,68.81521424,990000
45,2,17,52,38.5305762,68.7763022,455000
46,3,17,70,38.58288255,68.7482971,370000
47,3,14,109,38.58227975,68.76266008,570000
48,1,4,60,38.5507163,68.8305472,420000
49,4,3,75,,,639000
50,3,5,87,38.53258295,68.73744528,550000
51,4,7,153,38.5686785,68.79479378,2093040
52,2,7,95,38.5507163,68.8305472,685000
53,1,7,66,,,413820
54,1,5,53,,,332310
55,3,10,92,38.5853222,68.71890382,570000
56,2,8,80,38.52225355,68.74991794,592000
57,3,7,70,38.52225355,68.74991794,57000
58,2,2,60,38.54670385,68.74736905,500000
59,2,7,55,38.58288255,68.7482971,435000
60,1,7,54,38.5112209,68.73803769,201999
61,2,16,78,38.5623522,68.81128815,371000
62,2,5,60,38.5305762,68.7763022,465000
63,2,9,64,38.5832623,68.71074041,200000
64,3,3,75,38.5305762,68.7763022,590000
65,2,6,71,38.57159655,68.76501267,270000
66,2,1,60,38.54670385,68.74736905,521082
67,2,4,37,38.5575994,68.76368975,380000
68,1,12,64,,,344000
69,2,3,49,38.5305762,68.7763022,173000
